N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
315,0.4,1,2,2,0.0,LP,0.13270108374749512,0.2065975590525754,0.7071115469965673,-0.3929751457937912,0.3376831465497524
273,0.4,1,2,1,0.0,LP,0.14217471317926855,0.22357928038723132,0.7070295944063649,-0.3994177323830387,0.3559549355283106
189,0.2,1,3,2,0.0,LP,0.2604785648879795,0.5468943270869372,0.7063294200477915,-0.7003497892161418,0.37192638435647574
189,0.2,1,3,3,0.0,LP,0.25274997560222556,0.5117581431909587,0.7060374095339736,-0.7160005716774942,0.3530024773724216
189,0.2,1,2,3,0.0,LP,0.22634176057048183,0.4121976196305964,0.7052021769738457,-0.5866930989736098,0.3857924372494843
273,0.3,0,2,1,0.0,LP,0.16519488753905742,0.26820919144449,0.7049453004072969,-0.5113268677256733,0.3230710098881102
252,0.3,0,2,1,0.0,LP,0.16999283644369068,0.27788380618112307,0.7047533042009709,-0.4988403619620745,0.3407760265730358
273,0.4,1,2,4,0.0,LP,0.12444470623225734,0.19307017434813564,0.7045726201723903,-0.32860023574489805,0.3787115549389544
126,0.3,1,2,4,0.0,LP,0.1787151153290858,0.29693866044970024,0.7035343870448257,-0.5155610278709579,0.34664201843785836
126,0.2,0,3,3,0.0,LP,0.22880595088022404,0.41974554570149264,0.7033694088856243,-0.5786619962708727,0.39540518014789344
315,0.4,2,2,4,0.0,LP,0.11925359118839474,0.18461588717596383,0.7031701273898404,-0.37522901103982575,0.31781548782148267
273,0.4,1,2,3,0.0,LP,0.12883664788702553,0.2013475781612254,0.7030969288462046,-0.3548513166941192,0.3630721990474742
189,0.4,2,2,2,0.0,LP,0.15235885330074384,0.24476341592743087,0.7026175281335852,-0.38095496844038856,0.3999392734645087
231,0.2,0,2,1,0.0,HLP,0.19689768515139505,0.33755108077255547,0.7019926778366691,-0.5000759322893782,0.3937355758154275
231,0.3,0,2,1,0.0,LP,0.1647033823127484,0.26912943718852855,0.7018942392034647,-0.44219592393454366,0.37246698442459797
168,0.2,0,2,1,0.0,LP,0.2091851943449916,0.36817459537252917,0.7017050028937223,-0.5508725616443666,0.37973427778027147
273,0.4,2,2,1,0.0,LP,0.1453275287869178,0.23202501546828216,0.7015302789479552,-0.4277451237936667,0.3397526253438253
189,0.2,1,4,1,0.0,HLP,0.27415029600032836,0.6562285167453431,0.7015189296624819,-0.7861706964218317,0.3487159941830609
126,0.3,1,3,3,0.0,LP,0.2099120981469471,0.370359034739042,0.7013483401690663,-0.5340537082452603,0.3930542844401457
168,0.2,1,3,3,0.0,LP,0.2567183805008231,0.5458625952793005,0.7012805077467876,-0.710012077397074,0.3615690333634331
210,0.4,1,2,2,0.0,LP,0.14195379728769275,0.2259705640025423,0.7011930125888601,-0.3706345871771779,0.38300202463250754
315,0.3,2,3,3,0.0,LP,0.18343962648091217,0.308652763936492,0.7010283708725912,-0.5488821189973048,0.3342058706813383
126,0.3,1,3,1,0.0,LP,0.23650397327761108,0.4464254403410293,0.7005216812001308,-0.712288764671017,0.3320338393753053
294,0.3,1,2,1,0.0,LP,0.1671803251374402,0.2750402816937926,0.7005012010903335,-0.4775366459071212,0.35008899645778396
126,0.2,0,2,2,0.0,LP,0.2113350806127683,0.3750070870239388,0.7004144634571435,-0.5677566721893879,0.37222826426295663
210,0.2,2,2,3,0.0,LP,0.21677023890981695,0.38956124114080626,0.7002255070448917,-0.5184095435319611,0.4181447691586576
189,0.2,0,3,1,0.0,HLP,0.23666329458576385,0.4471831519235035,0.6999210270991792,-0.6318499446194821,0.3745561689148983
126,0.4,0,4,2,0.0,LP,0.17409638517462644,0.2902442295038351,0.6998790690826483,-0.4293698159893429,0.40546954790820133
126,0.4,0,2,3,0.0,LP,0.13244329038502722,0.20940762161981955,0.6996103418265789,-0.3166706162104739,0.4182367532862579
168,0.3,0,3,1,0.0,LP,0.20411664533029605,0.35799528487567417,0.6993902621228909,-0.5379760811643981,0.3794158373890991
315,0.3,0,2,3,0.0,LP,0.14216380662591477,0.22742288381869,0.6988359426053113,-0.4117999509538838,0.34522540931976764
126,0.3,0,3,1,0.0,LP,0.21455017208526295,0.38503841644066455,0.6988185799312226,-0.5442196569763625,0.39423451419833894
273,0.3,1,2,1,0.0,LP,0.17453062925706941,0.29151760678806515,0.6985748591388462,-0.4748858577094486,0.36752121888593536
210,0.3,2,4,1,0.0,LP,0.3054033819542057,0.8228315401895987,0.6985378212537575,-0.9263361483604083,0.3296895867604454
147,0.3,1,3,2,0.0,LP,0.2071023646934984,0.36697631209774173,0.6983001777019577,-0.5467622967577266,0.3787795279989224
210,0.3,0,4,1,0.0,LP,0.2251391242508598,0.41628111467661116,0.6981591566278654,-0.6710900467237224,0.3354827349176081
189,0.3,2,2,1,0.0,LP,0.26068974140531664,0.5029555166765185,0.6978204400990645,-0.650733971662976,0.4006087783293592
126,0.2,0,4,3,0.0,LP,0.23885525012998343,0.46232535241739037,0.6976861955580297,-0.6274811277161891,0.3806572653417205
210,0.2,2,3,1,0.0,LP,0.26291146139047905,0.5702971803021917,0.6976384743942992,-0.8227480545012521,0.3195528205166712
126,0.2,0,3,4,0.0,LP,0.21664126108045645,0.3941764321895229,0.6970261649687235,-0.5998780077118107,0.36114219607219505
273,0.3,1,3,4,0.0,LP,0.17773783582205427,0.29923053800254706,0.6969109535297204,-0.49504747470589017,0.3590319007841603
210,0.2,2,2,2,0.0,LP,0.2212695431840035,0.40712829693382085,0.6962984484882361,-0.6041224333635207,0.3662660595999722
210,0.2,2,3,3,0.0,LP,0.24813654008391195,0.49771039153133556,0.6962919083681407,-0.632722443399584,0.39217281237992374
252,0.2,0,2,1,0.0,HLP,0.19972394541811078,0.35006203095659655,0.6959946772312886,-0.5505409184863155,0.3627776586838299
