N,p,lag,cap,K,short,scheme,total,CAGR,vol,Sharpe,MDD,Calmar
147,0.4,1,2,1,0.5,LP,78.39956969863353,0.17752083346170755,0.295614980931226,0.7009651528553245,-0.49076200944758486,0.3617248891403185
231,0.2,0,3,1,0.5,LP,303.25474964649186,0.241458267290507,0.4637113583906967,0.7007980630849717,-0.6076833315028428,0.39734225833274717
126,0.2,0,3,2,0.5,LP,478.7231030645777,0.25845842034283306,0.53197861155681,0.7001501510257081,-0.7395047139118827,0.3495020592575023
168,0.3,0,3,1,0.5,HLP,225.8662049604192,0.22539382192849833,0.41151552922064144,0.7000954750090814,-0.7004501599878015,0.32178423934177364
126,0.3,2,3,1,0.5,LP,1017.8907260769046,0.29425932592778614,0.7238446743135336,0.7000030166945851,-0.7725873236667905,0.3808751670053253
147,0.4,1,3,1,0.5,LP,171.0592471862331,0.21203400028560648,0.37689246484123384,0.6989160485219709,-0.5456208144561218,0.3886105417311898
147,0.3,2,2,2,0.5,LP,456.8812336590531,0.2571690272493625,0.5028364017461111,0.6984964939741573,-0.6115050579462676,0.4205509405156216
168,0.2,0,3,3,0.5,HLP,333.4130311803421,0.24334095715868753,0.4686930092951895,0.6984674951130685,-0.789573473151749,0.3081929236899776
294,0.2,1,3,2,0.5,LP,349.0080215382241,0.2506973901137881,0.5045593609946464,0.6981562013916032,-0.6797338693019638,0.3688169759309415
147,0.4,2,3,3,0.5,LP,152.02000275935734,0.20673607450042675,0.3621886655369234,0.6978014033887275,-0.6204658533615172,0.3331949266512996
126,0.2,0,2,3,0.5,HLP,221.68156705649827,0.22300066624603732,0.4101296895477773,0.6971037480409672,-0.6767424396569326,0.32952073518410513
126,0.2,0,3,2,0.5,HLP,476.8008072899481,0.2582702670036381,0.5390636420737819,0.6968869627268662,-0.7999570579314152,0.32285516384028334
294,0.2,1,3,1,0.5,HLP,406.4719184597068,0.25797895926271,0.5486940821615572,0.6964734547674554,-0.7731842585046389,0.3336578007442222
189,0.3,2,3,1,0.5,LP,810.1963002194556,0.28633055803210294,0.6663013716800548,0.6962373912573531,-0.7692198819216963,0.37223499387038766
168,0.2,0,3,2,0.5,LP,374.2069728906885,0.24871516326023357,0.4988773993968276,0.6960743362084348,-0.7544298521759624,0.3296730140554188
126,0.3,0,3,1,0.5,HLP,286.0769985411882,0.2346240754187936,0.44642978916723347,0.6956625747842842,-0.7403421688357985,0.31691302386266096
168,0.2,0,2,2,0.5,LP,188.9482265391877,0.21726543713132696,0.3969366482163379,0.6955615747278144,-0.6612531636124099,0.3285661968623502
252,0.2,1,2,2,0.5,LP,163.52421791201263,0.21366062484278925,0.3866920086008169,0.6953391493773243,-0.53703824183739,0.3978499261277628
126,0.3,0,4,1,0.5,LP,407.19537687486854,0.25091424751966396,0.50855398926703,0.6952225485319096,-0.7361752361806133,0.3408349468822728
147,0.4,2,3,2,1.0,LP,300.43617067768577,0.2376889334984027,0.45712252875725906,0.6950973503116175,-0.622124378716467,0.3820601500760821
147,0.3,2,3,2,1.0,LP,848.2547447208199,0.2865171802678048,0.7549856999358843,0.6946582180241644,-0.7968399256596628,0.359566797598165
147,0.2,0,4,1,0.5,HLP,614.4114793940109,0.2711318226615138,0.7002906521503595,0.694354067495823,-0.8922806709552298,0.3038638306164965
210,0.2,0,3,1,0.5,LP,302.32636010566307,0.24047185736511278,0.47438317616773956,0.6939566803560898,-0.622125239098984,0.3865328751384289
315,0.2,1,4,1,0.5,HLP,236.5559690712221,0.23314584781634906,0.680857808324743,0.6936934095905615,-0.9690770226098758,0.24058546676553208
231,0.2,1,4,1,0.5,LP,485.10473180809623,0.26365793538432003,0.66970542502134,0.69369046171659,-0.8028944238788646,0.3283843149770075
126,0.4,2,2,2,0.5,HLP,118.32268509925663,0.19491281817722528,0.3392736326454528,0.6936609107129843,-0.5366245558905309,0.36322008755966556
168,0.2,0,4,2,0.5,HLP,593.2603774214348,0.27041843652139264,0.6017712889038523,0.69341246902843,-0.8694808561007937,0.3110113749186959
168,0.2,0,3,1,1.0,LP,572.375526807194,0.2687164182940134,0.6681664058949487,0.6926959144841685,-0.7551764652367271,0.35583261749262557
147,0.3,2,4,2,1.0,LP,671.5079493713752,0.2753517016570717,0.914877697764616,0.6926314368772132,-0.9100557799622954,0.30256574126530994
210,0.2,0,4,2,0.5,LP,286.858104976848,0.23802597857302876,0.4703200516923438,0.6922704858333729,-0.6147094165396716,0.38721706902250985
